M,efConstruction,efSearch,recall,avg_latency_ms,throughput_qps,build_time_s,memory_mb,dataset,dimension,train_size,test_size
16,50,10,0.7542,0.02374868392944336,42107.596487071474,4.825001001358032,531.109375,coco-i2i,512,113287,10000
16,50,50,0.808,0.04713799953460693,21214.307138041313,5.183757781982422,502.609375,coco-i2i,512,113287,10000
16,50,100,0.8138,0.08772079944610596,11399.804907322825,7.152015209197998,464.890625,coco-i2i,512,113287,10000
16,50,200,0.8171,0.13109209537506103,7628.225005778952,5.8680830001831055,504.3125,coco-i2i,512,113287,10000
16,100,10,0.7749,0.02023189067840576,49426.91792355999,11.203964948654175,389.4375,coco-i2i,512,113287,10000
16,100,50,0.8133,0.05363421440124512,18644.81490339094,9.68432903289795,503.21875,coco-i2i,512,113287,10000
16,100,100,0.8165,0.08766090869903564,11407.593359923738,9.289889097213745,506.140625,coco-i2i,512,113287,10000
16,100,200,0.8187,0.14586300849914552,6855.74780260931,9.264733791351318,506.203125,coco-i2i,512,113287,10000
16,200,10,0.7812,0.023312997817993165,42894.52638425556,20.341311931610107,322.953125,coco-i2i,512,113287,10000
16,200,50,0.816,0.06305558681488038,15859.022975011183,20.24696111679077,480.8125,coco-i2i,512,113287,10000
16,200,100,0.8188,0.10689868927001953,9354.651650349626,19.375460147857666,503.75,coco-i2i,512,113287,10000
16,200,200,0.819,0.16879711151123047,5924.271991665377,19.8038547039032,483.640625,coco-i2i,512,113287,10000
24,50,10,0.7609,0.01963331699371338,50933.82846720204,5.268450021743774,625.109375,coco-i2i,512,113287,10000
24,50,50,0.8105,0.06222760677337647,16070.037911659512,5.34859824180603,580.109375,coco-i2i,512,113287,10000
24,50,100,0.8154,0.08416478633880616,11881.453556770053,7.018009185791016,312.71875,coco-i2i,512,113287,10000
24,50,200,0.8174,0.15396718978881838,6494.890251433449,5.854931116104126,508.0,coco-i2i,512,113287,10000
24,100,10,0.7818,0.024983191490173338,40026.911709552034,11.583055019378662,491.421875,coco-i2i,512,113287,10000
24,100,50,0.8142,0.07061710357666015,14160.875331206767,10.851034879684448,497.984375,coco-i2i,512,113287,10000
24,100,100,0.8173,0.10677618980407716,9365.383816700078,10.995199918746948,500.578125,coco-i2i,512,113287,10000
24,100,200,0.8185,0.16078460216522217,6219.501037620509,10.589486122131348,510.0,coco-i2i,512,113287,10000
24,200,10,0.789,0.024908995628356932,40146.13896601991,20.74656891822815,487.453125,coco-i2i,512,113287,10000
24,200,50,0.8161,0.06848080158233644,14602.632809396535,19.778692960739136,508.34375,coco-i2i,512,113287,10000
24,200,100,0.8182,0.11419038772583008,8757.304532505745,22.001654148101807,447.5,coco-i2i,512,113287,10000
24,200,200,0.8187,0.1872488737106323,5340.486061055641,20.521172046661377,488.65625,coco-i2i,512,113287,10000
32,50,10,0.7958,0.03434000015258789,29120.55898533941,8.199192762374878,539.484375,coco-i2i,512,113287,10000
32,50,50,0.8161,0.08854708671569823,11293.426323677266,8.707014083862305,517.5,coco-i2i,512,113287,10000
32,50,100,0.8181,0.1278975009918213,7818.761056667928,8.177220106124878,540.484375,coco-i2i,512,113287,10000
32,50,200,0.8192,0.2114039897918701,4730.279693323256,8.627341985702515,496.890625,coco-i2i,512,113287,10000
32,100,10,0.7843,0.027781200408935548,35995.564816499435,10.893617153167725,520.03125,coco-i2i,512,113287,10000
32,100,50,0.8155,0.07657160758972169,13059.67095999995,10.747163772583008,520.875,coco-i2i,512,113287,10000
32,100,100,0.8178,0.10590949058532716,9442.024453836259,10.825180053710938,501.359375,coco-i2i,512,113287,10000
32,100,200,0.8188,0.17578160762786865,5688.8773148383625,10.76612901687622,520.515625,coco-i2i,512,113287,10000
